Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager
SHINE,Shine Resunga Development Bank Limited,2:1,1919182.00,100.00,2014-05-22,2014-06-25,2014-05-11,,Growmore Merchant Banking Ltd.
NICL,Nepal Insurance Company Limited,1:1,1319016.00,100.00,2014-04-14,2014-06-17,2014-04-30,2014-10-21,Growmore Merchant Banking Ltd.
MBBL,Mahakali Bikas Bank Limited,1:2,800000.00,100.00,2014-05-04,2013-06-07,2014-04-04,,Ace Capital Ltd.
SMBF,Sagarmatha Merchant Banking & Finance Limited,4:1,412500.00,100.00,2014-04-28,2014-06-01,2014-04-10,2015-01-04,Citizen Investment Trust
METRO,Metro Development Bank Limited,20:7,371000.00,100.00,2014-04-16,2014-05-20,2014-04-01,2014-09-16,NCM Merchant Banking Ltd.
SICL,Shikhar Insurance Company Limited,2:1,875000.00,100.00,2014-04-12,2014-05-17,2014-04-02,2014-08-27,NIBL Capital Mrkets Ltd.
ALICL,Asian Life Insurance Company Limited,20:1,256297.00,100.00,2014-04-01,2014-05-05,2014-03-11,2014-07-18,Civil Capital Market Ltd.
AHPC,Arun Valley Hydropower Development Company Limited,1:1,3504930.00,100.00,2014-03-24,2014-04-27,2014-02-13,2014-06-30,Elite Capital Ltd.
BPCL,Butwal Power Company Limited,3:2,6768463.00,100.00,2014-03-02,2014-04-05,2014-02-05,2014-06-30,NMB Capital Ltd.
LGIL,Lumbini General Insurance Limited,10:6.296,965910.00,100.00,2014-02-02,2014-03-08,2014-01-16,2014-09-26,Ace Capital Ltd.
KEBL,Kabeli Bikas Bank Limited,11:4,80000.00,100.00,2014-01-18,2014-02-22,2013-12-20,2014-08-27,Elite Capital Ltd.
BSBL,Bishwa Bikas Bank Limited,4:1,630000.00,100.00,2014-01-08,2014-02-11,2013-12-24,2014-08-12,Growmore Merchant Banker Ltd.
HGI,Himalayan General Insurance Company Limited,1:1.4801,1492000.00,100.00,2014-01-12,2014-02-15,2014-01-01,2014-04-27,NMB Capital Ltd.
PICL,Prudential Insurance Company Limited,1:1,1250000.00,100.00,2014-01-05,2014-02-08,2013-12-23,,NMB Capital Ltd.
KFL,Kathmandu Finance Limited.,1:0.15,231994.00,100.00,2013-12-22,2014-01-25,2013-12-11,2014-11-06,Growmore Merchant Banker Ltd.
NGBL,Nilgiri Bikas Bank Limited,1:0.7391,425000.00,100.00,2013-12-02,2014-01-05,2013-11-08,2014-03-21,Elite Capital Ltd.
SIL,Siddhartha Insurance Limited,10:9,1188000.00,100.00,2013-11-30,2014-01-04,2013-11-14,2014-04-04,NMB Capital Ltd.
WDBL,Western Development Bank Limited,3:2,400000.00,100.00,2013-11-09,2013-12-14,2013-10-07,2014-05-02,Growmore Merchant Banker Ltd.
GLICL,Gurans Life Insurance Company Limited,10:3.04121,1166000.00,100.00,2013-10-31,2013-12-04,2013-10-20,2014-03-07,NMB Capital Ltd.
GBBL,Garima Bikas Bank Limited,2:1,1100000.00,100.00,2013-10-03,2013-11-06,2013-10-06,2014-03-21,Elite Capital Ltd.
TBBL,Triveni Bikas Bank Limited,10:3,745181.00,100.00,2013-10-01,2013-11-05,2013-09-20,2014-01-19,Ace Capital Ltd.
SLICL,Surya Life Insurance Company Limited,10:2.1565,887000.00,100.00,2013-09-02,2013-10-06,2013-08-20,2013-12-29,Elite Capital Ltd.
GDBL,Gandaki Bikas Bank Limited,1:0.28,700000.00,100.00,2013-08-10,2013-09-14,2013-07-15,,Elite Capital Ltd.
NBL,Nepal Bank Limited,1:9.5157,36196176.00,100.00,2013-05-22,2013-06-25,2013-05-09,2013-10-06,Civil Capital Market Ltd. and Citizens Investment Trust
SFFIL,Srijana Finance Limited,1:2,560000.00,100.00,2013-04-28,2013-06-01,2014-01-19,2014-07-18,NCM Merchant Banking Ltd.
SEWA,Sewa Bikas Bank Limited,1:0.66,920000.00,100.00,2013-03-06,2013-04-09,2013-02-24,2013-07-14,NMB Capital Ltd.
NEFL,Nepal Express Finance Limited,100:11.8881,170000.00,100.00,2012-07-31,2012-09-03,2012-06-04,2013-02-12,NCM Merchant Banking Ltd.
KNBL,Kankai Bikas Bank Limited,1:1.50,600000.00,100.00,2012-06-21,2012-07-25,2012-06-11,2013-01-29,Growmore Merchant Banker Ltd.
BBBLN,Bageshowori Dev.elopment  Bank Limited,1:2.5,1485000.00,100.00,2012-06-21,2012-07-25,2012-06-07,,NMB Capital Ltd.
NDFL,Nava Durga Finance Company Limited,5:1,253264.00,100.00,2012-06-12,2012-07-16,2012-07-24,2013-02-24,Growmore Merchant Banker Ltd.
NLG,NLG Insurance Company Limited,2:1,150000.00,100.00,2012-05-01,2012-06-05,2012-06-21,,Civil Capital Market Ltd.
TBBL,Triveni Bikas Bank Limited,2:1,678500.00,100.00,2012-02-23,2012-03-28,2011-12-12,2012-09-09,Ace Capital Ltd.
UFIL,Unique Finance Limited,1:1,1000000.00,100.00,2011-09-25,2011-11-19,2011-09-15,,Nabil Investment Banking Ltd.
UFIL,Unique Finance Limited,1:1,1000000.00,100.00,2011-09-25,2011-10-29,2011-09-15,2012-02-16,Nabil Investment Banking Ltd.
IGIL,IME General Insurance Limited,2:1,500000.00,100.00,2011-06-26,2011-07-30,2011-06-16,2011-09-23,Civil Capital Market Ltd
RBSL,Resunga Bikas Bank Limited,1:1,306000.00,100.00,2011-06-26,2011-07-30,2011-06-03,2011-09-23,Civil Capital Market Ltd
BFIL,Bhajuratna Finance & Saving Company Limited,5:8,616000.00,100.00,2011-06-16,2011-07-20,2011-08-15,2011-12-19,NCM Merchant Banking Ltd.
PCCTL,Prabhu Cable Car & Tourism Limited,1:1,7000000.00,100.00,2024-12-14,2025-01-17,,,
MKJC,Mailung Khola Jal Vidhyut Company Limited,1:0.70,,,,,,,
EHPL,Eastern Hydropower Limited,1:0.871,5400092.74,100.00,,,,,
